video_id,cleaned_transcript,labels,generated_labels
TBxvg12ow5U,babi like littl mind music noth oh say someon sometim take wish your,"[3, 4, 6, 10]",
DsFES8Uw2Y0,charger display energi featur green intrigu minimalist nice nokia phone sort theme uh um verizon,"[21, 23, 24]",
3wFOdFNF4os,bend fix hardwood hornbi nail pico quit scenix sleeper track uh um wire,"[2, 45, 51, 298, 1818]",
mh-QRaGg2yM,appar ask aveng bring creatur defend director doctor furi hopelessli im initi lost mission need noth other outgun parti persuad save selfobsess sir think time train tri volatil war,"[5, 16, 25]",
9suZ0rGwi9I,angel die dont fli ganger gangster go heaven li,"[0, 1, 35, 3580]",
cYiWxt0l1q0,bluetooth click connect devic disconnect display hire ihi ipad iphon messag reconnect remot,"[2, 7, 24, 74, 131, 209]",
39m4SkhALKE,axe blue bridg dock easter egg fifth figur get go guy last one reason right skull solo thing tri uh um,"[0, 1, 36, 94, 898]",
6-D6AnRwAG0,ahead appli bold burgundi conceal face foundat go im lip long mac magnesia pencil rubi use,"[39, 233]",
9RZj7sxneFo,basic blade conjur cool damag dungeon elven guy level like loot mage minion poison river sabertooth samurai shield show sword triant uh um wrap,"[0, 1, 180, 357, 372, 1147]",
-wiuY1tM_6Q,applaus music oh,"[15, 533]",
r46VqpPSvWY,actual ahead awesom box common cool figur get got guy kind know let littl move mysteri one open pick randomli see shredder spike think turtl uh um,"[26, 130, 199, 644, 847, 2661, 3856]",
rCD8LFFvp9w,conveyor cost custom dim dl dlk industri leap light luminair metr requir significantli,"[420, 2039, 3120]",
sLn6DApPvaE,alley bath bathroom billionair court dollar forbescom forti hors hous marbl million network pool properti,[88],
sPgrA2ND7HI,aint blood brea broken burn bust call cuz dont fighter fire fy got heart hell keep let life louder lover prais son soul told yeah,[14],
k7mFlCRLnbc,bare belt clutch fire fusion got highperform hood hub hynd inject kit liberti liquid lug mbr nice paid pecan pipe pretti revers riser sled slp sold updat vent warmer weld xlt yup,"[2, 30, 544]",
bMVaSuHooKk,audienc boxster brutal car coup design drive dynam ftype great instantli jaguar launch much nois offer power respond steer,"[2, 7, 48, 104, 177, 213, 1371, 3749]",
kdwH5_ZtqIQ,driver foreign oh thank uber yeah,[366],
kdlYDOuIxUU,awesom extra jago nick one page realli review set snake staff there thing two yeah,"[26, 130, 1568]",
ntYnd2hu8cY,aftermarket build butler deck engin factori perform pontiac race,"[2, 7, 90, 1298, 1622]",
nxBH0qPcc-Q,basket bolt cargo cross four hardtop instal jk locat mount orient pad tighten top tube twodoor washer,"[2, 7, 297, 742]",
nyzIxSWUv0M,music oh yeah,"[49, 80, 265, 612]",
dque_YLYYtU,alon care close cold come could disappear dont door end even ever everyon feel fight give hand hear help hold ill im know late later place say side stand three togeth us wish wont worri,"[25, 282, 1338]",
FqTvWDbdbEk,aqua calib chronograph crown dial hundredth indic millimet mode one push racer second sub switch tag time,[343],
jjR5iiGS3ps,alon back came chang cri fene find ill last left look lost part past sleep steep way,"[4, 28, 33, 38]",
ZtDyg4RjKPA,art artist delawar howard illustr museum paint pile sculptur sloan societi wilmington,"[49, 127, 861, 1199]",
ZyeBbpcHD6c,amazingli applaus children dre go god got happ im jump lan laneway last ling mother music okay pce pr repetit sit understand want wase wave withd,"[3, 6, 324]",
UZD6dU5ICng,bottl brilliant cl complic dont exha gentlemen gra jeremi jet jetel kne melt mot noisi ped pedal propel quit sequenc tin warn whose ye yeah,"[3, 2195]",
kI-cLm-K2Eo,also aveeno bought british color dollar got honestli kiero lash like lordi love mascara realli revlon walgreen wash went,"[39, 156, 202]",
eNkhTx_0GSw,ahead appli eyelash fals glue go lash line,"[39, 50, 529, 1104]",
50aAGxJ83JM,applaus cool man music speee yeah,"[5, 3846]",
gYcNXfelzmw,arm bolt bush check get gonna gotta know littl old pop pound pretti sled sure sway thing trail xlt,"[2, 544, 1449]",
pr9Dg3nxcLY,bob boom bridg coil configur fullon gag gl got guitar hb humbuck legaci music passiv paul pickup trebl well,"[4, 9, 10, 37, 421, 2208]",
KSTZlot-8o0,adapt box charger connector european extract film flat handsfre headset hitman manual micro mobil nice noth phone plastic protect put transpar uh usb,"[21, 23, 26, 782]",
oietf0XwzTc,access age anyth black click dl download either find go happen html ipod ml oregon press review see tripl unload video websit white,"[1, 21, 23, 24, 73, 288, 322]",
ykr8T_POkPM,alway cannot car cass dad differ famili free go haley home im know mom music never oh pull right search someth suppo voic wake yeah,"[4, 9, 13]",
B-JtYziSr_c,click copi delet dot download error file folder go inf item jar meta minecraft okay raar right shift youll,"[0, 1, 27]",
-lrfTmPvouw,breath bree galaxi hate let littl music pass rhi stop,"[0, 1, 134]",
bPIrzxDhm9c,cholesterol eat fiber food hdl ldl level lower sterol thing,[11],
pKE6ZayLcJM,actual attach blend blender cup flax gonna grind kale lettuc powder seed smoothi stick,"[11, 20, 22, 1049]",
sBzuQWCm1Xg,abdomin advanc back exercis extensor floor go gonna hitchhik leg low multifidu muscl pelvic posit proper quadrup she slowli toliman,[161],
Sugp4a813xk,ase ash bn born fall king music never phoenix slay suffoc throne,"[0, 12]",
oYhSHHStJak,aeon black doubl enjoy game get god guy hello like load mean modern much noob oh op play score streak tag tri uh warfar yeah,"[0, 1, 36, 142]",
EZw_xSiy-jU,actual fire heat hot indic meal push see selfheat shake soup steam stove take think turn uh um upsid your,[11],
TdP46fhkSfw,bullet cannon chain doom earth enemi gun gunner kill littl map mean shotgun teleport weapon,"[0, 1, 1720, 2061]",
nCZp_DNn0gI,allow applic arrow crop edit effect formula go hit imag instagram librari open painterli photo save select,"[21, 23, 73, 146]",
HzhO64MVUkY,banana epic fuckland go hour inland kick mother one open readi wind wo wu,"[3, 324]",
R4n4AbOTsxY,eyes feel hate heart know life midst music need ping prise promis sacrific spite toight tonight way,"[25, 315]",
pGnr5uuMysE,arena bur burn citi countri cup davi federa junior play roger sport swiss switzerland tenni um,[226],
Up70dWBRpwM,appli card cheap fifa game goal make mid nice pick player pretti quarterfin squad stat striker team techniqu uh wallison,"[0, 1, 63, 167, 335]",
6YAnxzrY4oo,applaus laughter music yeah,[990],
ZVmZ0JgBnCI,applaus music noth oh wow,[832],
XYcCjmKyxoY,ask castl david decid god israel king lord solomon wisdom wise worri,"[16, 636, 816]",
iT6m4SyZyg8,attract bare bid bride condit cosmet counterrot daughter deer dig electron good ii jess lc leak littl machin paint properti rev stare turn weeden work,"[2, 7, 208, 1134]",
SWnqe_eZOkU,archer barch base clan elixir farm go gold king like loot max push queen raid spell uh upgrad,"[0, 1, 42, 306]",
sdPEKcy4aj8,coach expect freshman go guy he jone lot mack receiv saddleback tech texa tougher troy um,"[0, 79]",
pDG3P5lgT5U,ac bc conern dc fi futur inclin money show stranger,"[3, 4, 10]",
GlnQhW7h4Ok,aler anent anyon applaus distinguish everyon find haley hero hesa insid key music mysteri noh song stranger thank wester,"[3, 4, 13, 54]",
jWu0nZdTha0,beauti cook fish gonna like mapl minut oil quick rice salad salmon skin syrup wash,"[11, 20, 22, 29, 32, 122, 528, 991]",
860R1pUiL3g,articul backpack bit cartridg grade joint katana leg like littl master move piec pretti seed shield typic uh um vent,"[26, 259]",
9NQqMi80dis,andi bop come didnt entranc grand hold hour jim left loung marsh mr oscar right sawyer sharp she soer sorri stage tell,"[6, 8]",
_YlB85wxTHw,alcohol big boob clearli daddi devil die dont dude he hug im kravitz lenni let look massag oh okay shoot stand terrifi white,"[0, 1, 3299]",
op6KIOznRGs,bigscreen breath critic ethan film highlight introduc kathleen keener live locat manhattan movi recent screen sigourney simulcast slumdog sophi theater theatr traver turner tv visit york,[25],
qqO0quHvaEo,basil bird bit capres eat foodi fresh gonna husband ill im jaden littl mozzarella put reduc ripe salad share storebought tomato tonight use vinaigrett,"[11, 20, 22, 29, 32, 112, 220, 221, 276, 624]",
1zxwBqSK-dY,back ball base drill eye feet foot front get go ground he here hitch pocket push shoulder side snap step theyr three throw work,"[0, 79, 91, 918]",
0vRtfdrcXlQ,music oh wo woo woooo,"[4, 9, 13, 37]",
J3xHKZUaG2E,applaus oh,"[12, 329]",
aw477B7NLpE,abraham ancient artist bc bibl citi crescent excav mesopotamia nomad notion reconstruct societi stori sumerian syria templ uh ur valley,[816],
12YFaEpuZ4A,albani awesom ben big bit car check downhil go granit gravel lookout pedal realli right section tight track urban woo,"[53, 58, 163, 232]",
QcWO-JeeK78,abl apart back day differ doesnt end finish fuller give go piec pull retwist roll sco separ shape side smooth str style two une unfold untwist unwind want your,"[50, 65, 256, 998]",
o4Z5d8UkZi4,boot bunni candl color cooki forehead girl got know like love oh one santa scarf scarv smell snow snuggi target turtleneck,"[39, 66]",
YIxGTwa5bhg,micro part phone review sim site uh zen,"[21, 23, 24, 2454]",
BGDS3Psa-rM,applaus music,[61],
SItgHWTa5wE,arena captur competit cuz esport flag fun game gamescom got halo kill mode play realli team ton xbox,"[0, 1, 157, 1941]",
EDiDBmOGDDg,anyth beg care dont els leav stay think,"[3, 4]",
pYR3Nw7k53A,aim definit drawback go guy hurt jenner johnni judder like maneuv mech person right sarah see theta third uh view,"[0, 1, 3750]",
L6H1Jm8ITec,add awak blend brow brush color concentr corner daili darker eye go im inner like lip make makeup mascara nake outer palett use,"[39, 121]",
34oE6ACHMbk,alegr believ chip featur god hill okay origin overcom pin rolex stop thank timer um video young,"[4, 9, 10, 13, 28, 33]",
346wyDFfLx8,yeah,"[0, 1, 1686]",
u_voelnP4qk,batteri button charg control fire five foreign hobbi hour jackal minut missil nikad review run snugli time toy turn uh volt,[26],
HgdjM8IsbSY,back dinosaur got guy he look nice stegosauru tail teeth trex who yellow,"[15, 26, 1044, 1090]",
Tph41Ic-_KM,,"[39, 50, 65]",
3UbWj6WLvqM,attack back caus cing dj fr front go heart hous kick music,"[48, 61]",
WijXuXpIHRo,ab abc know music next sing time wont wx your,"[93, 102]",
Wk6Pd2-LsUE,box deck get guarante jerki kickstart mazi open pack put realli sleev theyr,"[0, 21, 23, 215, 217, 643]",
8q52A6e8AP4,cha chang la music pict pictur smack,"[17, 19, 448]",
RsI27EhfWpQ,avatar cant chang color cours decim download fantast file go hex hxd number offset open profil program put reash resign touch uh um use want websit yeah,"[0, 1, 105]",
gf0Q842zLng,alpha go greas make nut piec prop put shaft sure tab take tight tini uh way wood your,"[2, 76]",
ey2HHHiVbaA,bull champion christma dirti dont far full give look oh overflow path sun there ye yeah,"[82, 103, 118, 329]",
9j11pV8hO1Q,la love music,"[210, 685]",
Ge2HgfUm_7A,book chocol cool egg got heartshap jelli know let littl nice peppa pig realli see shape surpris unfortun well,"[26, 250, 526]",
TBK1Z-XPuDg,axe cleric combin craft creat dagger discoveri four go halv hammer hardwood hilt inscript mace materi plate rampag refin scroll shield spear steel sword tab unfairco venom,"[0, 1, 591, 761]",
3AUDUNeedVA,bicep doubl ladi light okay san say soe switch thank tight tr,"[6, 100]",
V-T_TpGgZ14,anyon armor armrest beast charg countess damag encount fantast finger mode oh pleas strand tag test turbo walk wall wesley wiz,"[1, 489]",
vO5C4WU-j2Y,oh,"[3, 4, 6, 10, 13, 54, 97, 243, 278, 552, 870]",
r6Qqx1cFVh0,anxiou away bit cant costum desir dont dress everyth fall feel fide fine fire girl hope in littl nervou okay perfect place play run shing sing st tonight,[3],
vxg58Mydeik,belt bolt deck drive guid loop mount mower posit pulley remov replac shaft,"[2, 620, 783]",
-04_3RVWD7o,biggi blade check crusher cutlass design got gripe handl inch kryton last length machet nice ounc overal sheath sog tonto uh velcro year zipper,"['Weapon', 'Knife']",
ocykoHarqQs,asid bird boy cat danger dog enslav fear footbal galor gosh hairbal healthcar histor hold hq intercept kitti mankind mysteri myth nah neck oh oldfashion paul plane poop reveng right scare solv speci spider tag that three tickl transmiss true tummi worst,['Trailer (promotion)'],
qz_JHH4syf8,claim cp grip gun handl littl nozzl one pump reservoir say theyr um water yeah,['Toy'],
wpcVKl0QSAA,amor backboard boozer dere derek im like mvp rose scream,"['Game', 'Basketball', 'Basketball moves', 'Slam dunk', 'DatPiff']",
mLStSgWCdho,bubbl deflector diaphragm din dive downstream dx first hose ocean port regul second stage standard version water,['Scuba diving'],
87Hmv3AC9Pk,blade compar fold gimp handl length longer materi open overal plain serrat shape sharp steel swedg textur tip triad twir voyag,"['Weapon', 'Knife']",
8DmQX9nKu3M,beer bottl brew coffe kind lactos milk residu roasti stone stout sweet tast um wateri,"['Food', 'Drink', 'Beer', 'Ale']",
WepJS5aXZhM,away best bitter blue bound couldnt face fight glori hate haze hurt isnt marri mind noth regret remind settl someon sometim stay uninvit wish youd,"['Animal', 'Pet', 'Horse', 'Jumping']",
6Ex9g7AGbpE,agenc angel championship chri dwight howard knick kobe laker lo nba orlean paul team want,['Basketball'],
YvIScCFksMM,aam alex applaus begley bown ced championship coloni goal goali greencom hardwork harmon mor morri morristown music prettiest puck ramsay ramsey shane shutout stingi team whan whing win zer,"['Winter sport', 'Ice skating', 'Hockey']",
YvTSXOtDkJ4,ah come hello hey hi oh thank,"['Game', 'Association football']",
lHV-9ZuYFoU,amp batteri boat bottom diagram esc gonna hook im instal mount okay one plug receiv swordfish thick thing uh usb wire,"['Mobile phone', 'Smartphone']",
lHJNLEDqgao,beetl clean clutch correctli diesel door durabl economi fuel moonroof nice onetouch realli shape smooth turbo vehicl,"['Vehicle', 'Car', 'Driving', 'Volkswagen', '', 'Volkswagen Beetle']",
OSO65OD_djk,applaus appli blend brush contour eye eyelid face highlight im laura liner mac music palett shade use,"['Cosmetics', 'Eye shadow', 'Mascara', 'Lipstick', 'Eye liner', 'Rouge (cosmetics)', 'Concealer']",
agUOg2jljag,aint babi call everi feel forgot get go gr group happen lot make pre right sing stop till,"['Vehicle', 'Car', 'Mercedes-Benz']",
ckTsRiGyxSs,alarm base basic boutiqu call comput design dynam engin gadget gestur gesturebas japan japanes jet kind know mean panel robot screen spur switchcom thin thing wackiest whimsic yeah,['Robot'],
_3oOZscxG6Q,ask babi bre break everywher got mommi music okay show wait,"['Game', 'Video game', 'Crazyracing Kartrider']",
_4oHCd0p91s,anyhow attach bald booz commerc cutleri etch jt key lover older psychot ring sidebar soldier swiss uh um victorinox victoro video wagner whing,"['Weapon', 'Tool', 'Knife']",
a6kzTFJLgck,bear cart carter insert motor oil petrol screw semi shaft silicon tighten,"['Vehicle', 'Car']",
JB43l_fwwX0,afraid catch deni dream etern eye fundament goe loneli love music togeth two wave whenev,"['Concert', 'Musician']",
kDxVcUqxTNQ,chopper dogfight helicopt jet missil pc pilot radar spawn stealth tv use,"['Video game', 'Battlefield (series)', 'Helicopter', 'Battlefield 3']",
uPNimZW0VB8,brace fire flick forgiv manmad method natur rod strike theyll tinder uh,"['Animal', 'Fire']",
C-MAHfCEh6w,appoint championship despit england european franc group manchest qualifi rooney team ukrain,"['Game', 'Association football']",
ylSjsxZBl8U,capri car claudia ford gt margo margot new promis seat,"['Vehicle', 'Car', '']",
ym-2MWVIX5o,annoy attenborough bastard biggest button cod david episod explod hello masawati milkshak music nine pleas quad scouter squeal stun subject tactic team thousand threat touch vegeta,"['Game', 'Video game', 'Call of Duty', 'Call of Duty: Modern Warfare 2', 'Call of Duty 4: Modern Warfare']",
B1uOJ5Yb1W4,aint answer anymor child foreign known laid lie life lost music rest score settl soul thank theyv what,"['Cycling', 'Bicycle', 'Skatepark', 'BMX bike']",
B9ychsZUGHE,appli area bit brown brush color creas easi excess eye eyelin forth go infatu innoc knock lash lid light like liner love pigment pretti realli uniqu use,"['Cosmetics', 'Mascara', 'Rouge (cosmetics)']",
FQtuq72G6nc,awesom beard call cool gadget go great hello hey im iphon like look mman orient pixel portrait right ross sam skype video well yeah,"['Mobile phone', 'Smartphone', 'Gadget', 'IPhone', 'IPhone 3GS']",
IeEle7sLeD0,aint book call chaser cher cober fletcher gou hisi im like likey look music nba ohe paper pressur proper starship theer tri vol walk willi wonka,"['Skiing', 'Snowboarding']",
XSZX4m1U6OM,around chase climb come dont either error everi footbal game gentlemen gonna half heal hell inch know life live margin mean middleag old play profession quit team that us will,['Basketball'],
4wMtCz8lUF8,cage cri daisi desert grumpi hmm jack jim kalahari meerkat mr said smith uncl,"['Cartoon', 'Animation']",
4wwPMgkKgrI,alway ant bust came dont ey fri gap gari go got govern ha homag ls man music nerv plane rea repli roof sea see selfish sneak somebodi sw talk that truli want weid wife worm yall,['Music video'],
xdhT6PztGP0,aleppo azeri bebop commando dino estrada fun legoland light lightup muti night retir rider shake stick styxx talki thome tini viewmast walki zenden,"['Cartoon', 'Animation', 'Television advertisement', 'Advertising', 'Teenage Mutant Ninja Turtles']",
c99LIkXlL-U,adorama batteri blast flashpoint inexpens lightweight pack portabl power realli shoot terrif use,"['Photography', 'Camera', 'Digital camera', 'Digital single-lens reflex camera', 'Flash (photography)']",
oAed3NXexIw,ahead dead enemi finger footstep guy headset hear pistol pro silenc sitrep subscrib trigger uav use usp vital,"['Game', 'Video game', 'Call of Duty', 'Call of Duty: Modern Warfare 3']",
Qz_SCuoPVWk,advanc along bounc challeng develop exercis flam focu get go grade grip intermedi jare minut move note okay play practic realli stick stroke tempo turnaround warmup,"['Musician', 'Drum kit', 'Drum', 'Drummer', 'Snare drum']",
R-aMm-T5SAs,add chenil collar drought fli fur heckl hook length lure millimet salmon tie tight use yellow,"['Fishing', 'Fishing lure', 'Fishing bait', 'Fly tying']",
SjLXGBfw8RQ,awak better check cl come cri good he hurri im know music oh parad pl reg right sake santa sleep tell town twice watch wh your,"['Strategy video game', 'Plants vs. Zombies', 'Tower defense']",
P6jc9E_YYEI,airbrush app applic artist brush cool eras freez froze galleri go imag iphon manipul photo pixel realli stroke tool touch uh um youv,"['Mobile phone', 'Smartphone', 'Gadget', 'IPhone', 'IPod Touch']",
CtoRgZjYAC4,basic camera go hdcsd im ive lumix model purpos shot slider sort spaceship um,['Camera'],
3lSeVdGbuhE,attack back background bakugan energi guarante guarantina he monster pokemon rival wait winner,"['Animation', 'Pokémon']",
MNteryl4WVo,also escap exit ford fordcom mi mil mileag moon neer nemer ner power quaker queensburi roof walkaround websit xlt youv,"['Vehicle', 'Car', 'Sport utility vehicle', '']",
ALiDs5zLBc0,alway dare game get go keep life loser nobodi power ring roll said sare step truth winner,"['Cartoon', 'Beyblade']",
ANHorCead6E,ash burn burnt car count grass green home hous ip light longer necklac pour rain reclin road say see shitti side street tattoo told way,"['Cartoon', 'Art', 'Drawing', 'Naruto', 'Painting']",
AQK2iBYVtp8,applaus heyi high job move music oil run sh stri sweet true wild,"['Game', 'Video game', 'Fighting game']",
VVwb72aNCxo,applaus decis love made music night nois one septemb thank,['Concert'],
VZEkxLQJ8U8,ask cheat countdown danni dear dog dy eleph emili empor gazel got madam oh peppa sheep suzi who win zebra zo zoe,"['Vehicle', 'Car', 'Toy']",
CSVOgEbr12Q,cylind design duck explor far spoon walnut,"['Wood', 'Snake', 'Wood carving']",
Iskp3_UGB1o,accur alpha beta browser coop dice filter go guy log play tri uh um unlock updat weapon your,"['Game', 'Video game', 'Battlefield (series)', 'Battlefield 3', 'Battlefield 4']",
JIfDvUXcRn4,applaus chri hold music oh,"['Dance', 'Ballet']",
CZsl3CISuUg,administr basic click deploy directori file go guy http imc instal nm process sql uh um,['Microsoft Windows'],
ghlDidKz-n8,blast im life make minecraft mountain world,"['Game', 'Minecraft']",
TfQwTowWZOY,access copi document extens file folder interfac oper phone shell system,['IPhone'],
n88VOX2pIAs,bradley clow decis dismay felt fight hard judg know lessen mean overwhelm punch respect return shot that touch uh um wasnt,['Boxing'],
9cdo1jyCAr4,ahead archiv copi delet devic go icloud mailbox megabyt messag photo space stream text tip uh,"['Mobile phone', 'Smartphone', 'Gadget', 'IPhone', 'IPhone 5S']",
I57DdAXOW9E,breath five four get go hold jump keep leg move nike obliqu one overhead rope side three toe two workout,"['Jumping', 'Squat (exercise)']",
N6FPBMNIsPE,babi bodi botom db dj drop give got gotom iy lose luci mov music remix sh shake tj want wewi youri,"['Game', 'Video game', 'Racing', 'Need for Speed', 'Need for Speed: Undercover']",
X9lbB4-xwwQ,realli well,"['Vehicle', 'Car', 'Infiniti']",
Qmn8maVHJsk,asian attack beast car card championship chimera english jew misprint missprint quit rare silver summon tribut uh weird win wingman world,"['Game', 'Pokémon', 'Playing card', 'Yu-Gi-Oh! Trading Card Game']",
Xtg2QoXh9u4,applaus music,"['Vehicle', 'Car', 'Motorsport', 'Drifting (motorsport)', 'Coupé', 'Ford Mustang', 'Chevrolet Camaro', 'Doughnut']",
IzYbaMLAYuc,act applaus bedroom cl concentr cu cuz girlfriend go goodby got know let live long love luck nation pain pleasur rise say skill stepani stre tell want way,"['Performance art', 'Dance']",
IzgfUNXDits,clandestin crew dispar dominion falsifi feder foreign music oti prepar protect quadrant reconnaiss reengag romulan ship starfleet starship tarnish voyag war weapon windsail wormhol,"['Cartoon', 'Animation', 'Trailer (promotion)', 'Star Wars', 'Star Trek']",
mFNauEJ2LXM,away champion emerg fight hide hmm um victori win,"['Game', 'Video game', 'Fighting game', 'Arcade game', 'Street Fighter', 'Zangief']",
hqVEXNXfV40,also batteri extens hot light lumen mean mode moonlight okay rang recharg reflector road spot strobe thrunit tn tube turbo,"['Light', 'Flashlight']",
-U6hurs6lsI,applaus got la music said yeah,"['Musical ensemble', 'Marching band']",
EX9uh_SCXuI,back best boom crazi cushion finish give keep like mouth notch place strike thing,['Room'],
