video_id,cleaned_transcript,labels,generated_labels,unigrams,unigram_word_map,segments
PPBpXvoaU50,back bodi boom chine close come control equip go grab idea kick knee lean learn leg move movement music punch stomach teach that understand,[110],,"['back bodi boom chine close come', 'control equip go grab idea kick', 'knee lean learn leg move movement', 'music punch stomach teach that understand']","{'Segment-1': ['back', 'bodi', 'boom', 'chine', 'close'], 'Segment-2': ['control', 'equip', 'go', 'grab', 'idea'], 'Segment-3': ['knee', 'lean', 'learn', 'leg', 'move'], 'Segment-4': ['music', 'punch', 'stomach', 'teach', 'that']}","[['back', 'bodi', 'boom', 'chine', 'close'], ['control', 'equip', 'go', 'grab', 'idea'], ['knee', 'lean', 'learn', 'leg', 'move'], ['music', 'punch', 'stomach', 'teach', 'that']]"
DlXq4DPzDRM,amaz clap everybodi fire hand miller mr say yeah zone,"[8, 14]",,"['amaz clap', 'everybodi fire', 'hand miller', 'mr say yeah zone']","{'Segment-1': ['amaz', 'clap'], 'Segment-2': ['everybodi', 'fire'], 'Segment-3': ['hand', 'miller'], 'Segment-4': ['mr', 'say', 'yeah', 'zone']}","[['amaz', 'clap'], ['everybodi', 'fire'], ['hand', 'miller'], ['mr', 'say', 'yeah', 'zone']]"
Dnm-AAfxc6Y,ancient doom explor fragl furiou garboil gee go magic maze parti ringbl roll round terribl trash youll,"[5, 16]",,"['ancient doom explor fragl', 'furiou garboil gee go', 'magic maze parti ringbl', 'roll round terribl trash youll']","{'Segment-1': ['ancient', 'doom', 'explor', 'fragl'], 'Segment-2': ['furiou', 'garboil', 'gee', 'go'], 'Segment-3': ['magic', 'maze', 'parti', 'ringbl'], 'Segment-4': ['roll', 'round', 'terribl', 'trash', 'youll']}","[['ancient', 'doom', 'explor', 'fragl'], ['furiou', 'garboil', 'gee', 'go'], ['magic', 'maze', 'parti', 'ringbl'], ['roll', 'round', 'terribl', 'trash', 'youll']]"
Dp266VgKEo0,adjust area black brush click color delet eras go imag layer mostli okay techniqu um white youll,[3081],,"['adjust area black brush', 'click color delet eras', 'go imag layer mostli', 'okay techniqu um white youll']","{'Segment-1': ['adjust', 'area', 'black', 'brush'], 'Segment-2': ['click', 'color', 'delet', 'eras'], 'Segment-3': ['go', 'imag', 'layer', 'mostli'], 'Segment-4': ['okay', 'techniqu', 'um', 'white', 'youll']}","[['adjust', 'area', 'black', 'brush'], ['click', 'color', 'delet', 'eras'], ['go', 'imag', 'layer', 'mostli'], ['okay', 'techniqu', 'um', 'white', 'youll']]"
Omhv4Z033tQ,aint applaus danger dont eye fasin fation feel fting hri like look meet music night shi straight time your,[8],,"['aint applaus danger dont', 'eye fasin fation feel', 'fting hri like look', 'meet music night shi straight time your']","{'Segment-1': ['aint', 'applaus', 'danger', 'dont'], 'Segment-2': ['eye', 'fasin', 'fation', 'feel'], 'Segment-3': ['fting', 'hri', 'like', 'look'], 'Segment-4': ['meet', 'music', 'night', 'shi', 'straight']}","[['aint', 'applaus', 'danger', 'dont'], ['eye', 'fasin', 'fation', 'feel'], ['fting', 'hri', 'like', 'look'], ['meet', 'music', 'night', 'shi', 'straight']]"
D7xVCv1FjvE,bite come loud nasti rock ye,"[53, 58, 163, 232]",,"['bite', 'come', 'loud', 'nasti rock ye']","{'Segment-1': ['bite'], 'Segment-2': ['come'], 'Segment-3': ['loud'], 'Segment-4': ['nasti', 'rock', 'ye']}","[['bite'], ['come'], ['loud'], ['nasti', 'rock', 'ye']]"
vW9PfUVQhZA,come go la oh spee,"[8, 13, 89, 164, 175, 201]",,"['come', 'go', 'la', 'oh spee']","{'Segment-1': ['come'], 'Segment-2': ['go'], 'Segment-3': ['la'], 'Segment-4': ['oh', 'spee']}","[['come'], ['go'], ['la'], ['oh', 'spee']]"
asumZp4Axx4,bbk bbkperformancecom bolt exhaust gasket header instal manifold midpip motor mount reinstal remov shaft steer unbolt xpipe,"[2, 7, 90, 165, 196, 373, 1368]",,"['bbk bbkperformancecom bolt exhaust', 'gasket header instal manifold', 'midpip motor mount reinstal', 'remov shaft steer unbolt xpipe']","{'Segment-1': ['bbk', 'bbkperformancecom', 'bolt', 'exhaust'], 'Segment-2': ['gasket', 'header', 'instal', 'manifold'], 'Segment-3': ['midpip', 'motor', 'mount', 'reinstal'], 'Segment-4': ['remov', 'shaft', 'steer', 'unbolt', 'xpipe']}","[['bbk', 'bbkperformancecom', 'bolt', 'exhaust'], ['gasket', 'header', 'instal', 'manifold'], ['midpip', 'motor', 'mount', 'reinstal'], ['remov', 'shaft', 'steer', 'unbolt', 'xpipe']]"
L2ac7fWFkc4,angel appear bird born close cre dear duck elliot everi gazel like long love music oh oo roberto romant spell suddenli that togeth toos true,"[5, 16]",,"['angel appear bird born close cre', 'dear duck elliot everi gazel like', 'long love music oh oo roberto', 'romant spell suddenli that togeth toos true']","{'Segment-1': ['angel', 'appear', 'bird', 'born', 'close'], 'Segment-2': ['dear', 'duck', 'elliot', 'everi', 'gazel'], 'Segment-3': ['long', 'love', 'music', 'oh', 'oo'], 'Segment-4': ['romant', 'spell', 'suddenli', 'that', 'togeth']}","[['angel', 'appear', 'bird', 'born', 'close'], ['dear', 'duck', 'elliot', 'everi', 'gazel'], ['long', 'love', 'music', 'oh', 'oo'], ['romant', 'spell', 'suddenli', 'that', 'togeth']]"
dO_8fECvUg4,dj,"[0, 42, 306]",,"['dj', '', '', '']","{'Segment-1': ['dj'], 'Segment-2': [], 'Segment-3': [], 'Segment-4': []}","[['dj'], [], [], []]"
33K-TYH_m9g,album artist boy bubl christin moon nina pale pet play rain shop simon street track westlif,"[105, 246, 1296]",,"['album artist boy bubl', 'christin moon nina pale', 'pet play rain shop', 'simon street track westlif']","{'Segment-1': ['album', 'artist', 'boy', 'bubl'], 'Segment-2': ['christin', 'moon', 'nina', 'pale'], 'Segment-3': ['pet', 'play', 'rain', 'shop'], 'Segment-4': ['simon', 'street', 'track', 'westlif']}","[['album', 'artist', 'boy', 'bubl'], ['christin', 'moon', 'nina', 'pale'], ['pet', 'play', 'rain', 'shop'], ['simon', 'street', 'track', 'westlif']]"
gld6KFjHBV8,fight finish one round two ugh,"[0, 1, 5, 69, 478]",,"['fight', 'finish', 'one', 'round two ugh']","{'Segment-1': ['fight'], 'Segment-2': ['finish'], 'Segment-3': ['one'], 'Segment-4': ['round', 'two', 'ugh']}","[['fight'], ['finish'], ['one'], ['round', 'two', 'ugh']]"
gnUVlBw2hQc,ariza brandon foul game night piston point steal trevor washington wizard,"[0, 52, 70, 125]",,"['ariza brandon', 'foul game', 'night piston', 'point steal trevor washington wizard']","{'Segment-1': ['ariza', 'brandon'], 'Segment-2': ['foul', 'game'], 'Segment-3': ['night', 'piston'], 'Segment-4': ['point', 'steal', 'trevor', 'washington', 'wizard']}","[['ariza', 'brandon'], ['foul', 'game'], ['night', 'piston'], ['point', 'steal', 'trevor', 'washington', 'wizard']]"
HgZc2f9qEwg,carbon clean door eleg ensur formul fume nontox oven polish showroom spray sydney technician,"[11, 22, 307, 341, 791, 2461]",,"['carbon clean door', 'eleg ensur formul', 'fume nontox oven', 'polish showroom spray sydney technician']","{'Segment-1': ['carbon', 'clean', 'door'], 'Segment-2': ['eleg', 'ensur', 'formul'], 'Segment-3': ['fume', 'nontox', 'oven'], 'Segment-4': ['polish', 'showroom', 'spray', 'sydney', 'technician']}","[['carbon', 'clean', 'door'], ['eleg', 'ensur', 'formul'], ['fume', 'nontox', 'oven'], ['polish', 'showroom', 'spray', 'sydney', 'technician']]"
HkdYTu4X0M8,absolut alway assault attach black cuda cuz duti especi gameplay guy insan kind like op peopl rang smg specialist use vmp,"[0, 1, 36]",,"['absolut alway assault attach black', 'cuda cuz duti especi gameplay', 'guy insan kind like op', 'peopl rang smg specialist use vmp']","{'Segment-1': ['absolut', 'alway', 'assault', 'attach', 'black'], 'Segment-2': ['cuda', 'cuz', 'duti', 'especi', 'gameplay'], 'Segment-3': ['guy', 'insan', 'kind', 'like', 'op'], 'Segment-4': ['peopl', 'rang', 'smg', 'specialist', 'use']}","[['absolut', 'alway', 'assault', 'attach', 'black'], ['cuda', 'cuz', 'duti', 'especi', 'gameplay'], ['guy', 'insan', 'kind', 'like', 'op'], ['peopl', 'rang', 'smg', 'specialist', 'use']]"
TnMiozSZAEg,battlefield better canal choke conquest design detect dice firestorm game helicopt inconsist infantri map tdm vehicl,"[0, 1, 124, 287]",,"['battlefield better canal choke', 'conquest design detect dice', 'firestorm game helicopt inconsist', 'infantri map tdm vehicl']","{'Segment-1': ['battlefield', 'better', 'canal', 'choke'], 'Segment-2': ['conquest', 'design', 'detect', 'dice'], 'Segment-3': ['firestorm', 'game', 'helicopt', 'inconsist'], 'Segment-4': ['infantri', 'map', 'tdm', 'vehicl']}","[['battlefield', 'better', 'canal', 'choke'], ['conquest', 'design', 'detect', 'dice'], ['firestorm', 'game', 'helicopt', 'inconsist'], ['infantri', 'map', 'tdm', 'vehicl']]"
Ts2wbaYKBnw,bei black dar divers doag dorm dude foo gangster ghetto instructor note paper pimp professor racism rapper say sexual stapl talk today true walk,"[5, 16]",,"['bei black dar divers doag dorm', 'dude foo gangster ghetto instructor note', 'paper pimp professor racism rapper say', 'sexual stapl talk today true walk']","{'Segment-1': ['bei', 'black', 'dar', 'divers', 'doag'], 'Segment-2': ['dude', 'foo', 'gangster', 'ghetto', 'instructor'], 'Segment-3': ['paper', 'pimp', 'professor', 'racism', 'rapper'], 'Segment-4': ['sexual', 'stapl', 'talk', 'today', 'true']}","[['bei', 'black', 'dar', 'divers', 'doag'], ['dude', 'foo', 'gangster', 'ghetto', 'instructor'], ['paper', 'pimp', 'professor', 'racism', 'rapper'], ['sexual', 'stapl', 'talk', 'today', 'true']]"
L8gOQJpAuzc,belong better captiv cri dress emer gallow greatest hang heartach ill life lip love music older soer suicid trap your,[3433],,"['belong better captiv cri dress', 'emer gallow greatest hang heartach', 'ill life lip love music', 'older soer suicid trap your']","{'Segment-1': ['belong', 'better', 'captiv', 'cri', 'dress'], 'Segment-2': ['emer', 'gallow', 'greatest', 'hang', 'heartach'], 'Segment-3': ['ill', 'life', 'lip', 'love', 'music'], 'Segment-4': ['older', 'soer', 'suicid', 'trap', 'your']}","[['belong', 'better', 'captiv', 'cri', 'dress'], ['emer', 'gallow', 'greatest', 'hang', 'heartach'], ['ill', 'life', 'lip', 'love', 'music'], ['older', 'soer', 'suicid', 'trap', 'your']]"
_K7dsmUp9GY,arent citi earth forc gone greatest hunt jungl left mankind music ruin seph spawn us,"[0, 1, 25, 1604, 1804]",,"['arent citi earth', 'forc gone greatest', 'hunt jungl left', 'mankind music ruin seph spawn us']","{'Segment-1': ['arent', 'citi', 'earth'], 'Segment-2': ['forc', 'gone', 'greatest'], 'Segment-3': ['hunt', 'jungl', 'left'], 'Segment-4': ['mankind', 'music', 'ruin', 'seph', 'spawn']}","[['arent', 'citi', 'earth'], ['forc', 'gone', 'greatest'], ['hunt', 'jungl', 'left'], ['mankind', 'music', 'ruin', 'seph', 'spawn']]"
_LX8tsdp7hs,basket bushel earli fri grow harvest plant potato soil varieti vine,"[126, 220, 276, 506]",,"['basket bushel', 'earli fri', 'grow harvest', 'plant potato soil varieti vine']","{'Segment-1': ['basket', 'bushel'], 'Segment-2': ['earli', 'fri'], 'Segment-3': ['grow', 'harvest'], 'Segment-4': ['plant', 'potato', 'soil', 'varieti', 'vine']}","[['basket', 'bushel'], ['earli', 'fri'], ['grow', 'harvest'], ['plant', 'potato', 'soil', 'varieti', 'vine']]"
8ZCfYqQJxeQ,glutenfre greasi hair heal keratin know like lonza obsess oil realli shampoo skin sodium stuff,"[50, 65]",,"['glutenfre greasi hair', 'heal keratin know', 'like lonza obsess', 'oil realli shampoo skin sodium stuff']","{'Segment-1': ['glutenfre', 'greasi', 'hair'], 'Segment-2': ['heal', 'keratin', 'know'], 'Segment-3': ['like', 'lonza', 'obsess'], 'Segment-4': ['oil', 'realli', 'shampoo', 'skin', 'sodium']}","[['glutenfre', 'greasi', 'hair'], ['heal', 'keratin', 'know'], ['like', 'lonza', 'obsess'], ['oil', 'realli', 'shampoo', 'skin', 'sodium']]"
xRjMgLxTB0k,ahead bad boo busi competitor forget hello herebi liver mascara mayb music past reason smi someth suitcas tatter wanna world wrap,"[50, 65]",,"['ahead bad boo busi competitor', 'forget hello herebi liver mascara', 'mayb music past reason smi', 'someth suitcas tatter wanna world wrap']","{'Segment-1': ['ahead', 'bad', 'boo', 'busi', 'competitor'], 'Segment-2': ['forget', 'hello', 'herebi', 'liver', 'mascara'], 'Segment-3': ['mayb', 'music', 'past', 'reason', 'smi'], 'Segment-4': ['someth', 'suitcas', 'tatter', 'wanna', 'world']}","[['ahead', 'bad', 'boo', 'busi', 'competitor'], ['forget', 'hello', 'herebi', 'liver', 'mascara'], ['mayb', 'music', 'past', 'reason', 'smi'], ['someth', 'suitcas', 'tatter', 'wanna', 'world']]"
0c6CfFpplGA,align also builtin case go groov iphon jack littl phone pressur protector requir screen shell snap solid speaker util wake workmat,"[21, 23, 24, 73, 786]",,"['align also builtin case go', 'groov iphon jack littl phone', 'pressur protector requir screen shell', 'snap solid speaker util wake workmat']","{'Segment-1': ['align', 'also', 'builtin', 'case', 'go'], 'Segment-2': ['groov', 'iphon', 'jack', 'littl', 'phone'], 'Segment-3': ['pressur', 'protector', 'requir', 'screen', 'shell'], 'Segment-4': ['snap', 'solid', 'speaker', 'util', 'wake']}","[['align', 'also', 'builtin', 'case', 'go'], ['groov', 'iphon', 'jack', 'littl', 'phone'], ['pressur', 'protector', 'requir', 'screen', 'shell'], ['snap', 'solid', 'speaker', 'util', 'wake']]"
b5p2MlCMo0U,acr alway bad black confirm game get go guy kill know lot modern op peopl play realli run situat slow um warfar your,"[0, 1, 36, 142]",,"['acr alway bad black confirm', 'game get go guy kill', 'know lot modern op peopl', 'play realli run situat slow um warfar your']","{'Segment-1': ['acr', 'alway', 'bad', 'black', 'confirm'], 'Segment-2': ['game', 'get', 'go', 'guy', 'kill'], 'Segment-3': ['know', 'lot', 'modern', 'op', 'peopl'], 'Segment-4': ['play', 'realli', 'run', 'situat', 'slow']}","[['acr', 'alway', 'bad', 'black', 'confirm'], ['game', 'get', 'go', 'guy', 'kill'], ['know', 'lot', 'modern', 'op', 'peopl'], ['play', 'realli', 'run', 'situat', 'slow']]"
ZZAskJEQcRQ,ah applaus music oh,"[2, 44, 46, 109, 162, 664, 800, 908, 965]",,"['ah', 'applaus', 'music', 'oh']","{'Segment-1': ['ah'], 'Segment-2': ['applaus'], 'Segment-3': ['music'], 'Segment-4': ['oh']}","[['ah'], ['applaus'], ['music'], ['oh']]"
ZZuHpkgzD7g,advertis bottl bubbl consum drink tap thirsti water,"[62, 259, 1154]",,"['advertis bottl', 'bubbl consum', 'drink tap', 'thirsti water']","{'Segment-1': ['advertis', 'bottl'], 'Segment-2': ['bubbl', 'consum'], 'Segment-3': ['drink', 'tap'], 'Segment-4': ['thirsti', 'water']}","[['advertis', 'bottl'], ['bubbl', 'consum'], ['drink', 'tap'], ['thirsti', 'water']]"
ZZfvJPBDe1g,accord bc belli buddha emerald ganisha god golden guardian hat histor lanka mapl raavana red six someth statu stori templ vina,"[0, 1, 319]",,"['accord bc belli buddha emerald', 'ganisha god golden guardian hat', 'histor lanka mapl raavana red', 'six someth statu stori templ vina']","{'Segment-1': ['accord', 'bc', 'belli', 'buddha', 'emerald'], 'Segment-2': ['ganisha', 'god', 'golden', 'guardian', 'hat'], 'Segment-3': ['histor', 'lanka', 'mapl', 'raavana', 'red'], 'Segment-4': ['six', 'someth', 'statu', 'stori', 'templ']}","[['accord', 'bc', 'belli', 'buddha', 'emerald'], ['ganisha', 'god', 'golden', 'guardian', 'hat'], ['histor', 'lanka', 'mapl', 'raavana', 'red'], ['six', 'someth', 'statu', 'stori', 'templ']]"
gU_J8tHKlFg,birthday cake cosmic creat game good grace happi hope iren lab parent present race simul stupid timothi,"[5, 16]",,"['birthday cake cosmic creat', 'game good grace happi', 'hope iren lab parent', 'present race simul stupid timothi']","{'Segment-1': ['birthday', 'cake', 'cosmic', 'creat'], 'Segment-2': ['game', 'good', 'grace', 'happi'], 'Segment-3': ['hope', 'iren', 'lab', 'parent'], 'Segment-4': ['present', 'race', 'simul', 'stupid', 'timothi']}","[['birthday', 'cake', 'cosmic', 'creat'], ['game', 'good', 'grace', 'happi'], ['hope', 'iren', 'lab', 'parent'], ['present', 'race', 'simul', 'stupid', 'timothi']]"
gUFAa4uJSuI,achiev attar cannon catapult gold level minotaur need one place slow soon tower upgrad youll,"[0, 1, 1781]",,"['achiev attar cannon', 'catapult gold level', 'minotaur need one', 'place slow soon tower upgrad youll']","{'Segment-1': ['achiev', 'attar', 'cannon'], 'Segment-2': ['catapult', 'gold', 'level'], 'Segment-3': ['minotaur', 'need', 'one'], 'Segment-4': ['place', 'slow', 'soon', 'tower', 'upgrad']}","[['achiev', 'attar', 'cannon'], ['catapult', 'gold', 'level'], ['minotaur', 'need', 'one'], ['place', 'slow', 'soon', 'tower', 'upgrad']]"
LV0iWZP7IUY,appli brush charact creas fairi filigre glitter go gold im kind mask onto outlin season silver start teardrop,"[39, 121, 156, 207, 233]",,"['appli brush charact creas', 'fairi filigre glitter go', 'gold im kind mask', 'onto outlin season silver start teardrop']","{'Segment-1': ['appli', 'brush', 'charact', 'creas'], 'Segment-2': ['fairi', 'filigre', 'glitter', 'go'], 'Segment-3': ['gold', 'im', 'kind', 'mask'], 'Segment-4': ['onto', 'outlin', 'season', 'silver', 'start']}","[['appli', 'brush', 'charact', 'creas'], ['fairi', 'filigre', 'glitter', 'go'], ['gold', 'im', 'kind', 'mask'], ['onto', 'outlin', 'season', 'silver', 'start']]"
ezGmnOFjqdI,accept adam campbel career fifa gail go he know like loan look mode offer player scotland squad striker vladimir,"[0, 63]",,"['accept adam campbel career', 'fifa gail go he', 'know like loan look', 'mode offer player scotland squad striker vladimir']","{'Segment-1': ['accept', 'adam', 'campbel', 'career'], 'Segment-2': ['fifa', 'gail', 'go', 'he'], 'Segment-3': ['know', 'like', 'loan', 'look'], 'Segment-4': ['mode', 'offer', 'player', 'scotland', 'squad']}","[['accept', 'adam', 'campbel', 'career'], ['fifa', 'gail', 'go', 'he'], ['know', 'like', 'loan', 'look'], ['mode', 'offer', 'player', 'scotland', 'squad']]"
N0-y3NWS-5M,cant let music oh,[89],,"['cant', 'let', 'music', 'oh']","{'Segment-1': ['cant'], 'Segment-2': ['let'], 'Segment-3': ['music'], 'Segment-4': ['oh']}","[['cant'], ['let'], ['music'], ['oh']]"
N2E3fPTuY5A,address anymor app email gift id kid letter receiv send ship,"[99, 518]",,"['address anymor', 'app email', 'gift id', 'kid letter receiv send ship']","{'Segment-1': ['address', 'anymor'], 'Segment-2': ['app', 'email'], 'Segment-3': ['gift', 'id'], 'Segment-4': ['kid', 'letter', 'receiv', 'send', 'ship']}","[['address', 'anymor'], ['app', 'email'], ['gift', 'id'], ['kid', 'letter', 'receiv', 'send', 'ship']]"
xzi0n0CdKco,batteri better bit brownish calm cgi dpad impress jtown key littl mah mini naka nid origin qwerti slightli steel there theyv yen zomega,"[21, 23, 24, 3716]",,"['batteri better bit brownish calm', 'cgi dpad impress jtown key', 'littl mah mini naka nid', 'origin qwerti slightli steel there theyv yen zomega']","{'Segment-1': ['batteri', 'better', 'bit', 'brownish', 'calm'], 'Segment-2': ['cgi', 'dpad', 'impress', 'jtown', 'key'], 'Segment-3': ['littl', 'mah', 'mini', 'naka', 'nid'], 'Segment-4': ['origin', 'qwerti', 'slightli', 'steel', 'there']}","[['batteri', 'better', 'bit', 'brownish', 'calm'], ['cgi', 'dpad', 'impress', 'jtown', 'key'], ['littl', 'mah', 'mini', 'naka', 'nid'], ['origin', 'qwerti', 'slightli', 'steel', 'there']]"
y17WKhB1Ivs,answer anywher attack bro brother final half last minut move neck oh posit quarter quarterfin rever rough seriou sn team that wonder yet york,"[6, 8]",,"['answer anywher attack bro brother final', 'half last minut move neck oh', 'posit quarter quarterfin rever rough seriou', 'sn team that wonder yet york']","{'Segment-1': ['answer', 'anywher', 'attack', 'bro', 'brother'], 'Segment-2': ['half', 'last', 'minut', 'move', 'neck'], 'Segment-3': ['posit', 'quarter', 'quarterfin', 'rever', 'rough'], 'Segment-4': ['sn', 'team', 'that', 'wonder', 'yet']}","[['answer', 'anywher', 'attack', 'bro', 'brother'], ['half', 'last', 'minut', 'move', 'neck'], ['posit', 'quarter', 'quarterfin', 'rever', 'rough'], ['sn', 'team', 'that', 'wonder', 'yet']]"
y2HQwxzML8E,ampl area bulkhead cabin caterpillar compart dine electr ensuit galley helm loo opposit princess saloon teak thruster tv underfoot,"[2, 76, 281, 446]",,"['ampl area bulkhead cabin', 'caterpillar compart dine electr', 'ensuit galley helm loo', 'opposit princess saloon teak thruster tv underfoot']","{'Segment-1': ['ampl', 'area', 'bulkhead', 'cabin'], 'Segment-2': ['caterpillar', 'compart', 'dine', 'electr'], 'Segment-3': ['ensuit', 'galley', 'helm', 'loo'], 'Segment-4': ['opposit', 'princess', 'saloon', 'teak', 'thruster']}","[['ampl', 'area', 'bulkhead', 'cabin'], ['caterpillar', 'compart', 'dine', 'electr'], ['ensuit', 'galley', 'helm', 'loo'], ['opposit', 'princess', 'saloon', 'teak', 'thruster']]"
GhslKs7scnk,applaus armstead associ blaster coast coordin everybodi ford frank fun good greg gregori hand hard hate havet influx johnni laid lp meridian mississippi motorcycl observ point ride ridg runner sand togeth trail uh vent work,"[17, 19, 55, 143]",,"['applaus armstead associ blaster coast coordin everybodi ford', 'frank fun good greg gregori hand hard hate', 'havet influx johnni laid lp meridian mississippi motorcycl', 'observ point ride ridg runner sand togeth trail uh vent work']","{'Segment-1': ['applaus', 'armstead', 'associ', 'blaster', 'coast'], 'Segment-2': ['frank', 'fun', 'good', 'greg', 'gregori'], 'Segment-3': ['havet', 'influx', 'johnni', 'laid', 'lp'], 'Segment-4': ['observ', 'point', 'ride', 'ridg', 'runner']}","[['applaus', 'armstead', 'associ', 'blaster', 'coast'], ['frank', 'fun', 'good', 'greg', 'gregori'], ['havet', 'influx', 'johnni', 'laid', 'lp'], ['observ', 'point', 'ride', 'ridg', 'runner']]"
ikCkGGgCIYU,come foreign thank,[3],,"['come', 'foreign', 'thank', '']","{'Segment-1': ['come'], 'Segment-2': ['foreign'], 'Segment-3': ['thank'], 'Segment-4': []}","[['come'], ['foreign'], ['thank'], []]"
