video_id,cleaned_transcript,labels,generated_labels,unigrams,unigram_word_map,segments,GPT_answer
PPBpXvoaU50,back bodi boom chine close come control equip go grab idea kick knee lean learn leg move movement music punch stomach teach that understand,[110],,"['back bodi boom chine close come', 'control equip go grab idea kick', 'knee lean learn leg move movement', 'music punch stomach teach that understand']","{'Segment-1': ['back', 'bodi', 'boom', 'chine', 'close'], 'Segment-2': ['control', 'equip', 'go', 'grab', 'idea'], 'Segment-3': ['knee', 'lean', 'learn', 'leg', 'move'], 'Segment-4': ['music', 'punch', 'stomach', 'teach', 'that']}","[['back', 'bodi', 'boom', 'chine', 'close'], ['control', 'equip', 'go', 'grab', 'idea'], ['knee', 'lean', 'learn', 'leg', 'move'], ['music', 'punch', 'stomach', 'teach', 'that']]","['Topic: Back Bodi Boom Chine Close', 'Topic: Control equipment for idea generation.', 'Topic: Knee leg move learn.', 'Topic: Music that teaches a punch to the stomach.']"
DlXq4DPzDRM,amaz clap everybodi fire hand miller mr say yeah zone,"[8, 14]",,"['amaz clap', 'everybodi fire', 'hand miller', 'mr say yeah zone']","{'Segment-1': ['amaz', 'clap'], 'Segment-2': ['everybodi', 'fire'], 'Segment-3': ['hand', 'miller'], 'Segment-4': ['mr', 'say', 'yeah', 'zone']}","[['amaz', 'clap'], ['everybodi', 'fire'], ['hand', 'miller'], ['mr', 'say', 'yeah', 'zone']]","['Topic: Amaz Clap', 'Topic: Fire Safety for Everybody.', 'Topic: Hand miller.', 'Topic: Mr. Say Yeah Zone']"
Dnm-AAfxc6Y,ancient doom explor fragl furiou garboil gee go magic maze parti ringbl roll round terribl trash youll,"[5, 16]",,"['ancient doom explor fragl', 'furiou garboil gee go', 'magic maze parti ringbl', 'roll round terribl trash youll']","{'Segment-1': ['ancient', 'doom', 'explor', 'fragl'], 'Segment-2': ['furiou', 'garboil', 'gee', 'go'], 'Segment-3': ['magic', 'maze', 'parti', 'ringbl'], 'Segment-4': ['roll', 'round', 'terribl', 'trash', 'youll']}","[['ancient', 'doom', 'explor', 'fragl'], ['furiou', 'garboil', 'gee', 'go'], ['magic', 'maze', 'parti', 'ringbl'], ['roll', 'round', 'terribl', 'trash', 'youll']]","['Topic: Ancient Doom Exploration.', 'Topic: Furiou Garboil Gee Go.', 'Topic: Magic Maze Party Ringbl', ""Topic: Terrible trash you'll roll round.""]"
Dp266VgKEo0,adjust area black brush click color delet eras go imag layer mostli okay techniqu um white youll,[3081],,"['adjust area black brush', 'click color delet eras', 'go imag layer mostli', 'okay techniqu um white youll']","{'Segment-1': ['adjust', 'area', 'black', 'brush'], 'Segment-2': ['click', 'color', 'delet', 'eras'], 'Segment-3': ['go', 'imag', 'layer', 'mostli'], 'Segment-4': ['okay', 'techniqu', 'um', 'white', 'youll']}","[['adjust', 'area', 'black', 'brush'], ['click', 'color', 'delet', 'eras'], ['go', 'imag', 'layer', 'mostli'], ['okay', 'techniqu', 'um', 'white', 'youll']]","['Topic: Adjusting the Black Brush Area.', 'Topic: Click color delet eras.', 'Topic: Go Image Layer Mostly.', 'Topic: White technique.']"
Omhv4Z033tQ,aint applaus danger dont eye fasin fation feel fting hri like look meet music night shi straight time your,[8],,"['aint applaus danger dont', 'eye fasin fation feel', 'fting hri like look', 'meet music night shi straight time your']","{'Segment-1': ['aint', 'applaus', 'danger', 'dont'], 'Segment-2': ['eye', 'fasin', 'fation', 'feel'], 'Segment-3': ['fting', 'hri', 'like', 'look'], 'Segment-4': ['meet', 'music', 'night', 'shi', 'straight']}","[['aint', 'applaus', 'danger', 'dont'], ['eye', 'fasin', 'fation', 'feel'], ['fting', 'hri', 'like', 'look'], ['meet', 'music', 'night', 'shi', 'straight']]","[""Topic: Applause and danger don't mix."", 'Topic: Eye fashion feel.', 'Topic: Fitting hair-like look.', 'Topic: Straight Music Night Meet']"
D7xVCv1FjvE,bite come loud nasti rock ye,"[53, 58, 163, 232]",,"['bite', 'come', 'loud', 'nasti rock ye']","{'Segment-1': ['bite'], 'Segment-2': ['come'], 'Segment-3': ['loud'], 'Segment-4': ['nasti', 'rock', 'ye']}","[['bite'], ['come'], ['loud'], ['nasti', 'rock', 'ye']]","['Topic: Bite.', 'Topic: Come', 'Topic: Loud sounds.', 'Topic: Nasti Rock Ye']"
vW9PfUVQhZA,come go la oh spee,"[8, 13, 89, 164, 175, 201]",,"['come', 'go', 'la', 'oh spee']","{'Segment-1': ['come'], 'Segment-2': ['go'], 'Segment-3': ['la'], 'Segment-4': ['oh', 'spee']}","[['come'], ['go'], ['la'], ['oh', 'spee']]","['Topic: words representing a topic', 'Topic: Renewable Energy Sources', 'Topic: Words representing a topic.', 'Topic: Speech limitations.']"
asumZp4Axx4,bbk bbkperformancecom bolt exhaust gasket header instal manifold midpip motor mount reinstal remov shaft steer unbolt xpipe,"[2, 7, 90, 165, 196, 373, 1368]",,"['bbk bbkperformancecom bolt exhaust', 'gasket header instal manifold', 'midpip motor mount reinstal', 'remov shaft steer unbolt xpipe']","{'Segment-1': ['bbk', 'bbkperformancecom', 'bolt', 'exhaust'], 'Segment-2': ['gasket', 'header', 'instal', 'manifold'], 'Segment-3': ['midpip', 'motor', 'mount', 'reinstal'], 'Segment-4': ['remov', 'shaft', 'steer', 'unbolt', 'xpipe']}","[['bbk', 'bbkperformancecom', 'bolt', 'exhaust'], ['gasket', 'header', 'instal', 'manifold'], ['midpip', 'motor', 'mount', 'reinstal'], ['remov', 'shaft', 'steer', 'unbolt', 'xpipe']]","['Topic: BBK Performance Bolt Exhaust', 'Topic: Gasket header installation for manifold.', 'Topic: Midpip motor mount reinstall.', 'Topic: Remove shaft, unbolt x-pipe, steer.']"
L2ac7fWFkc4,angel appear bird born close cre dear duck elliot everi gazel like long love music oh oo roberto romant spell suddenli that togeth toos true,"[5, 16]",,"['angel appear bird born close cre', 'dear duck elliot everi gazel like', 'long love music oh oo roberto', 'romant spell suddenli that togeth toos true']","{'Segment-1': ['angel', 'appear', 'bird', 'born', 'close'], 'Segment-2': ['dear', 'duck', 'elliot', 'everi', 'gazel'], 'Segment-3': ['long', 'love', 'music', 'oh', 'oo'], 'Segment-4': ['romant', 'spell', 'suddenli', 'that', 'togeth']}","[['angel', 'appear', 'bird', 'born', 'close'], ['dear', 'duck', 'elliot', 'everi', 'gazel'], ['long', 'love', 'music', 'oh', 'oo'], ['romant', 'spell', 'suddenli', 'that', 'togeth']]","['Topic: Angel appearing as a bird born close.', 'Topic: Dear Duck Elliot Everi Gazel.', 'Topic: Long love music.', 'Topic: Romantic spell suddenly together.']"
dO_8fECvUg4,dj,"[0, 42, 306]",,"['dj', '', '', '']","{'Segment-1': ['dj'], 'Segment-2': [], 'Segment-3': [], 'Segment-4': []}","[['dj'], [], [], []]","['Topic: Words representing a topic.', 'Topic: Words and meanings.', 'Topic: Words representing a topic.', 'Topic: Importance of education and lifelong learning.']"
33K-TYH_m9g,album artist boy bubl christin moon nina pale pet play rain shop simon street track westlif,"[105, 246, 1296]",,"['album artist boy bubl', 'christin moon nina pale', 'pet play rain shop', 'simon street track westlif']","{'Segment-1': ['album', 'artist', 'boy', 'bubl'], 'Segment-2': ['christin', 'moon', 'nina', 'pale'], 'Segment-3': ['pet', 'play', 'rain', 'shop'], 'Segment-4': ['simon', 'street', 'track', 'westlif']}","[['album', 'artist', 'boy', 'bubl'], ['christin', 'moon', 'nina', 'pale'], ['pet', 'play', 'rain', 'shop'], ['simon', 'street', 'track', 'westlif']]","['Topic: Album by artist Boy Bubl.', 'Topic: Christin Moon Nina Pale', 'Topic: Pet play in the rain at the shop.', 'Topic: Simon Street Track Westlife']"
gld6KFjHBV8,fight finish one round two ugh,"[0, 1, 5, 69, 478]",,"['fight', 'finish', 'one', 'round two ugh']","{'Segment-1': ['fight'], 'Segment-2': ['finish'], 'Segment-3': ['one'], 'Segment-4': ['round', 'two', 'ugh']}","[['fight'], ['finish'], ['one'], ['round', 'two', 'ugh']]","['Topic: Fight.', 'Topic: Language and Communication', 'Topic: Words representing a topic.', 'Topic: Round Two Ugh']"
gnUVlBw2hQc,ariza brandon foul game night piston point steal trevor washington wizard,"[0, 52, 70, 125]",,"['ariza brandon', 'foul game', 'night piston', 'point steal trevor washington wizard']","{'Segment-1': ['ariza', 'brandon'], 'Segment-2': ['foul', 'game'], 'Segment-3': ['night', 'piston'], 'Segment-4': ['point', 'steal', 'trevor', 'washington', 'wizard']}","[['ariza', 'brandon'], ['foul', 'game'], ['night', 'piston'], ['point', 'steal', 'trevor', 'washington', 'wizard']]","['Topic: Ariza Brandon', 'Topic: Foul Game', 'Topic: Night Piston', 'Topic: Trevor Washington steals points from the Wizards.']"
HgZc2f9qEwg,carbon clean door eleg ensur formul fume nontox oven polish showroom spray sydney technician,"[11, 22, 307, 341, 791, 2461]",,"['carbon clean door', 'eleg ensur formul', 'fume nontox oven', 'polish showroom spray sydney technician']","{'Segment-1': ['carbon', 'clean', 'door'], 'Segment-2': ['eleg', 'ensur', 'formul'], 'Segment-3': ['fume', 'nontox', 'oven'], 'Segment-4': ['polish', 'showroom', 'spray', 'sydney', 'technician']}","[['carbon', 'clean', 'door'], ['eleg', 'ensur', 'formul'], ['fume', 'nontox', 'oven'], ['polish', 'showroom', 'spray', 'sydney', 'technician']]","['Topic: Carbon Clean Door', 'Topic: Ensuring the elegance of formulas.', 'Topic: Non-toxic oven fume.', 'Topic: Polish showroom spray technician Sydney.']"
HkdYTu4X0M8,absolut alway assault attach black cuda cuz duti especi gameplay guy insan kind like op peopl rang smg specialist use vmp,"[0, 1, 36]",,"['absolut alway assault attach black', 'cuda cuz duti especi gameplay', 'guy insan kind like op', 'peopl rang smg specialist use vmp']","{'Segment-1': ['absolut', 'alway', 'assault', 'attach', 'black'], 'Segment-2': ['cuda', 'cuz', 'duti', 'especi', 'gameplay'], 'Segment-3': ['guy', 'insan', 'kind', 'like', 'op'], 'Segment-4': ['peopl', 'rang', 'smg', 'specialist', 'use']}","[['absolut', 'alway', 'assault', 'attach', 'black'], ['cuda', 'cuz', 'duti', 'especi', 'gameplay'], ['guy', 'insan', 'kind', 'like', 'op'], ['peopl', 'rang', 'smg', 'specialist', 'use']]","['Topic: Absolute Black Assault', 'Topic: CUDA for game development.', 'Topic: Guy, insan, kind, like, op.', 'Topic: People use SMG specialist rang.']"
TnMiozSZAEg,battlefield better canal choke conquest design detect dice firestorm game helicopt inconsist infantri map tdm vehicl,"[0, 1, 124, 287]",,"['battlefield better canal choke', 'conquest design detect dice', 'firestorm game helicopt inconsist', 'infantri map tdm vehicl']","{'Segment-1': ['battlefield', 'better', 'canal', 'choke'], 'Segment-2': ['conquest', 'design', 'detect', 'dice'], 'Segment-3': ['firestorm', 'game', 'helicopt', 'inconsist'], 'Segment-4': ['infantri', 'map', 'tdm', 'vehicl']}","[['battlefield', 'better', 'canal', 'choke'], ['conquest', 'design', 'detect', 'dice'], ['firestorm', 'game', 'helicopt', 'inconsist'], ['infantri', 'map', 'tdm', 'vehicl']]","['Topic: Battlefield canal choke better.', 'Topic: Conquest design for detecting dice.', 'Topic: Firestorm Game Helicopter Inconsist.', 'Topic: Infantry map TDM vehicle.']"
Ts2wbaYKBnw,bei black dar divers doag dorm dude foo gangster ghetto instructor note paper pimp professor racism rapper say sexual stapl talk today true walk,"[5, 16]",,"['bei black dar divers doag dorm', 'dude foo gangster ghetto instructor note', 'paper pimp professor racism rapper say', 'sexual stapl talk today true walk']","{'Segment-1': ['bei', 'black', 'dar', 'divers', 'doag'], 'Segment-2': ['dude', 'foo', 'gangster', 'ghetto', 'instructor'], 'Segment-3': ['paper', 'pimp', 'professor', 'racism', 'rapper'], 'Segment-4': ['sexual', 'stapl', 'talk', 'today', 'true']}","[['bei', 'black', 'dar', 'divers', 'doag'], ['dude', 'foo', 'gangster', 'ghetto', 'instructor'], ['paper', 'pimp', 'professor', 'racism', 'rapper'], ['sexual', 'stapl', 'talk', 'today', 'true']]","['Topic: Black divers do.', 'Topic: Dude is a gangster instructor in the ghetto.', 'Topic: Professor paper on racism in rap culture.', 'Topic: True sexual talk today.']"
L8gOQJpAuzc,belong better captiv cri dress emer gallow greatest hang heartach ill life lip love music older soer suicid trap your,[3433],,"['belong better captiv cri dress', 'emer gallow greatest hang heartach', 'ill life lip love music', 'older soer suicid trap your']","{'Segment-1': ['belong', 'better', 'captiv', 'cri', 'dress'], 'Segment-2': ['emer', 'gallow', 'greatest', 'hang', 'heartach'], 'Segment-3': ['ill', 'life', 'lip', 'love', 'music'], 'Segment-4': ['older', 'soer', 'suicid', 'trap', 'your']}","[['belong', 'better', 'captiv', 'cri', 'dress'], ['emer', 'gallow', 'greatest', 'hang', 'heartach'], ['ill', 'life', 'lip', 'love', 'music'], ['older', 'soer', 'suicid', 'trap', 'your']]","['Topic: Better dress to captivate.', ""Topic: Emer Gallow's Greatest Heartache"", 'Topic: Still life, lip, love, music.', 'Topic: Older suicide trap.']"
_K7dsmUp9GY,arent citi earth forc gone greatest hunt jungl left mankind music ruin seph spawn us,"[0, 1, 25, 1604, 1804]",,"['arent citi earth', 'forc gone greatest', 'hunt jungl left', 'mankind music ruin seph spawn us']","{'Segment-1': ['arent', 'citi', 'earth'], 'Segment-2': ['forc', 'gone', 'greatest'], 'Segment-3': ['hunt', 'jungl', 'left'], 'Segment-4': ['mankind', 'music', 'ruin', 'seph', 'spawn']}","[['arent', 'citi', 'earth'], ['forc', 'gone', 'greatest'], ['hunt', 'jungl', 'left'], ['mankind', 'music', 'ruin', 'seph', 'spawn']]","['Topic: Parent City Earth.', 'Topic: Greatest Gone Force', 'Topic: Jungle Hunt Left', 'Topic: Mankind, music, ruin, seph, spawn.']"
_LX8tsdp7hs,basket bushel earli fri grow harvest plant potato soil varieti vine,"[126, 220, 276, 506]",,"['basket bushel', 'earli fri', 'grow harvest', 'plant potato soil varieti vine']","{'Segment-1': ['basket', 'bushel'], 'Segment-2': ['earli', 'fri'], 'Segment-3': ['grow', 'harvest'], 'Segment-4': ['plant', 'potato', 'soil', 'varieti', 'vine']}","[['basket', 'bushel'], ['earli', 'fri'], ['grow', 'harvest'], ['plant', 'potato', 'soil', 'varieti', 'vine']]","['Topic: Basket of bushels.', 'Topic: Early Friday', 'Topic: Grow Harvest', 'Topic: Planting potato varieties in soil.']"
8ZCfYqQJxeQ,glutenfre greasi hair heal keratin know like lonza obsess oil realli shampoo skin sodium stuff,"[50, 65]",,"['glutenfre greasi hair', 'heal keratin know', 'like lonza obsess', 'oil realli shampoo skin sodium stuff']","{'Segment-1': ['glutenfre', 'greasi', 'hair'], 'Segment-2': ['heal', 'keratin', 'know'], 'Segment-3': ['like', 'lonza', 'obsess'], 'Segment-4': ['oil', 'realli', 'shampoo', 'skin', 'sodium']}","[['glutenfre', 'greasi', 'hair'], ['heal', 'keratin', 'know'], ['like', 'lonza', 'obsess'], ['oil', 'realli', 'shampoo', 'skin', 'sodium']]","['Topic: Gluten-free greasy hair.', 'Topic: Heal Keratin Know', 'Topic: Lonza Obsess', 'Topic: Oil Shampoo for Skin with Sodium']"
xRjMgLxTB0k,ahead bad boo busi competitor forget hello herebi liver mascara mayb music past reason smi someth suitcas tatter wanna world wrap,"[50, 65]",,"['ahead bad boo busi competitor', 'forget hello herebi liver mascara', 'mayb music past reason smi', 'someth suitcas tatter wanna world wrap']","{'Segment-1': ['ahead', 'bad', 'boo', 'busi', 'competitor'], 'Segment-2': ['forget', 'hello', 'herebi', 'liver', 'mascara'], 'Segment-3': ['mayb', 'music', 'past', 'reason', 'smi'], 'Segment-4': ['someth', 'suitcas', 'tatter', 'wanna', 'world']}","[['ahead', 'bad', 'boo', 'busi', 'competitor'], ['forget', 'hello', 'herebi', 'liver', 'mascara'], ['mayb', 'music', 'past', 'reason', 'smi'], ['someth', 'suitcas', 'tatter', 'wanna', 'world']]","['Topic: Business competition.', 'Topic: Liver health and cosmetic products.', 'Topic: Music and its impact on the past and reason.', 'Topic: Tattered suitcase in a world.']"
0c6CfFpplGA,align also builtin case go groov iphon jack littl phone pressur protector requir screen shell snap solid speaker util wake workmat,"[21, 23, 24, 73, 786]",,"['align also builtin case go', 'groov iphon jack littl phone', 'pressur protector requir screen shell', 'snap solid speaker util wake workmat']","{'Segment-1': ['align', 'also', 'builtin', 'case', 'go'], 'Segment-2': ['groov', 'iphon', 'jack', 'littl', 'phone'], 'Segment-3': ['pressur', 'protector', 'requir', 'screen', 'shell'], 'Segment-4': ['snap', 'solid', 'speaker', 'util', 'wake']}","[['align', 'also', 'builtin', 'case', 'go'], ['groov', 'iphon', 'jack', 'littl', 'phone'], ['pressur', 'protector', 'requir', 'screen', 'shell'], ['snap', 'solid', 'speaker', 'util', 'wake']]","['Topic: Aligning builtin case in Go.', 'Topic: Groov iPhone jack littl phone', 'Topic: Screen protector requirements for protective shells.', 'Topic: Solid speaker wake.']"
b5p2MlCMo0U,acr alway bad black confirm game get go guy kill know lot modern op peopl play realli run situat slow um warfar your,"[0, 1, 36, 142]",,"['acr alway bad black confirm', 'game get go guy kill', 'know lot modern op peopl', 'play realli run situat slow um warfar your']","{'Segment-1': ['acr', 'alway', 'bad', 'black', 'confirm'], 'Segment-2': ['game', 'get', 'go', 'guy', 'kill'], 'Segment-3': ['know', 'lot', 'modern', 'op', 'peopl'], 'Segment-4': ['play', 'realli', 'run', 'situat', 'slow']}","[['acr', 'alway', 'bad', 'black', 'confirm'], ['game', 'get', 'go', 'guy', 'kill'], ['know', 'lot', 'modern', 'op', 'peopl'], ['play', 'realli', 'run', 'situat', 'slow']]","['Topic: Confirming always bad black acr.', 'Topic: Game to kill the guy.', 'Topic: Modern knowledge of people.', 'Topic: Slow play in a real situation.']"
ZZAskJEQcRQ,ah applaus music oh,"[2, 44, 46, 109, 162, 664, 800, 908, 965]",,"['ah', 'applaus', 'music', 'oh']","{'Segment-1': ['ah'], 'Segment-2': ['applaus'], 'Segment-3': ['music'], 'Segment-4': ['oh']}","[['ah'], ['applaus'], ['music'], ['oh']]","['Topic: Words representing a coherent topic.', 'Topic: Applause', 'Topic: Music.', 'Topic: Technology and Innovation']"
ZZuHpkgzD7g,advertis bottl bubbl consum drink tap thirsti water,"[62, 259, 1154]",,"['advertis bottl', 'bubbl consum', 'drink tap', 'thirsti water']","{'Segment-1': ['advertis', 'bottl'], 'Segment-2': ['bubbl', 'consum'], 'Segment-3': ['drink', 'tap'], 'Segment-4': ['thirsti', 'water']}","[['advertis', 'bottl'], ['bubbl', 'consum'], ['drink', 'tap'], ['thirsti', 'water']]","['Topic: Advertise Bottles', 'Topic: Bubble Consumption', 'Topic: Tap water drink.', 'Topic: Thirst for water.']"
ZZfvJPBDe1g,accord bc belli buddha emerald ganisha god golden guardian hat histor lanka mapl raavana red six someth statu stori templ vina,"[0, 1, 319]",,"['accord bc belli buddha emerald', 'ganisha god golden guardian hat', 'histor lanka mapl raavana red', 'six someth statu stori templ vina']","{'Segment-1': ['accord', 'bc', 'belli', 'buddha', 'emerald'], 'Segment-2': ['ganisha', 'god', 'golden', 'guardian', 'hat'], 'Segment-3': ['histor', 'lanka', 'mapl', 'raavana', 'red'], 'Segment-4': ['six', 'someth', 'statu', 'stori', 'templ']}","[['accord', 'bc', 'belli', 'buddha', 'emerald'], ['ganisha', 'god', 'golden', 'guardian', 'hat'], ['histor', 'lanka', 'mapl', 'raavana', 'red'], ['six', 'someth', 'statu', 'stori', 'templ']]","['Topic: Accord of Belli Buddha and Emerald.', 'Topic: Ganisha, the golden guardian hat.', 'Topic: Raavana and the historical map of Lanka.', 'Topic: Six Statue Story Template.']"
gU_J8tHKlFg,birthday cake cosmic creat game good grace happi hope iren lab parent present race simul stupid timothi,"[5, 16]",,"['birthday cake cosmic creat', 'game good grace happi', 'hope iren lab parent', 'present race simul stupid timothi']","{'Segment-1': ['birthday', 'cake', 'cosmic', 'creat'], 'Segment-2': ['game', 'good', 'grace', 'happi'], 'Segment-3': ['hope', 'iren', 'lab', 'parent'], 'Segment-4': ['present', 'race', 'simul', 'stupid', 'timothi']}","[['birthday', 'cake', 'cosmic', 'creat'], ['game', 'good', 'grace', 'happi'], ['hope', 'iren', 'lab', 'parent'], ['present', 'race', 'simul', 'stupid', 'timothi']]","['Topic: Cosmic Birthday Cake Creat.', 'Topic: Good Grace in Game Happiness.', 'Topic: Hope for Iren Lab Parent.', 'Topic: Present race simul stupid Timothi.']"
gUFAa4uJSuI,achiev attar cannon catapult gold level minotaur need one place slow soon tower upgrad youll,"[0, 1, 1781]",,"['achiev attar cannon', 'catapult gold level', 'minotaur need one', 'place slow soon tower upgrad youll']","{'Segment-1': ['achiev', 'attar', 'cannon'], 'Segment-2': ['catapult', 'gold', 'level'], 'Segment-3': ['minotaur', 'need', 'one'], 'Segment-4': ['place', 'slow', 'soon', 'tower', 'upgrad']}","[['achiev', 'attar', 'cannon'], ['catapult', 'gold', 'level'], ['minotaur', 'need', 'one'], ['place', 'slow', 'soon', 'tower', 'upgrad']]","['Topic: Achiev Attar Cannon', 'Topic: Catapult Gold Level', ""Topic: Minotaur's need for one."", 'Topic: Upgrade tower soon.']"
